name,@lat,@lon
Olive Garden,35.1472936,-106.5889211
Texas Roadhouse,35.1467592,-106.5891251
Teriyaki Chicken Bowl,35.1464614,-106.5871028
La Placita,35.0960023,-106.6691718
Twisters,35.0796561,-106.5328257
Mr. Powdrell's Barbecue,35.0711386,-106.5213320
Little Anita's,35.0721163,-106.5298709
Dion's,35.1310948,-106.5239755
Applebee's,35.0866463,-106.5295506
Sadie's of New Mexico,35.0849570,-106.5317113
Owl Cafe,35.0856420,-106.5320763
Acapulco,35.1156401,-106.5513331
Waffle House,35.0559811,-106.6215045
El Patron North,35.1767349,-106.5593201
Sadie's of New Mexico,35.1475831,-106.5843028
Village Inn,35.0551234,-106.6216764
Golden Pride,35.0728684,-106.5354089
Sweet Tomatoes,35.1371481,-106.5871698
Dave & Buster's,35.1014752,-106.5640963
Twisters,35.0816379,-106.5146391
Cottonwood Café,35.0780612,-106.6631288
Olive Garden,35.0787795,-106.5157973
La Cabañita,35.0724768,-106.5500134
Lupe's Antojitos,35.0726092,-106.5569938
Flying Star Cafe Corrales,35.2042218,-106.6457019
DG's Deli & Market,35.0841823,-106.6296841
Denny's,35.1062317,-106.5872114
Dion's Pizza,35.1462820,-106.5524511
Firenze Pizzeria,35.0851493,-106.6577369
IHOP,35.1747266,-106.5566106
Chili's,35.1748034,-106.5592764
Dion's Pizza,35.1747480,-106.5569580
Garcia's Kitchen,35.0914694,-106.6667187
Central Grill and Coffeehouse,35.0944004,-106.6707181
Village Inn,35.0852183,-106.5146536
Outback Steakhouse,35.1398611,-106.5959384
An Hy Quan,35.0959879,-106.5156906
Teriyaki Chicken Bowl,35.0966569,-106.5157162
Perea's New Mexican Restaurant,35.0918810,-106.5148162
BJ's,35.0994863,-106.5673712
Mario's Pizzeria & Ristorante,35.1749190,-106.5619514
Denny's,35.1091498,-106.5158865
Red Robin,35.0989837,-106.5673409
Hooters,35.1351834,-106.5872139
La Madeleine French Bakery & Cafe,35.1000864,-106.5683772
Main Event,35.1273596,-106.6159761
BJ's,35.1946652,-106.6557205
Range Café,35.1062611,-106.6704174
Range Café,35.1955125,-106.6542481
Papa Felipe's Mexican Restaurant,35.1084522,-106.5317617
Quesadilla Grille,35.0971612,-106.6690723
Church Street Cafe,35.0973537,-106.6698550
Hacienda del Rio,35.0963771,-106.6692922
Seasons 52,35.1083470,-106.5693863
Cheeba Hut,35.1086994,-106.5676025
Mac's La Sierra,35.0811328,-106.7065680
Lin's Grand Buffet,35.1293095,-106.5904744
Monroe's,35.1448853,-106.5806606
Scarpas,35.1468465,-106.5821464
Route 66 Lounge,35.0474885,-106.6151794
Rio Grande Brew Pub & Grill,35.0473195,-106.6167181
Watch! Sports Lounge & Grill,35.0475079,-106.6178355
Tia Juanita's New Mexican,35.0485451,-106.6168920
Chile Chicken,35.1169248,-106.5335910
Flying Star Cafe,35.1094517,-106.5552257
Chili's,35.0716165,-106.5341673
,35.0741292,-106.5491681
Nobody Calls Me Chicken,35.1017351,-106.6126496
Garcia's,35.1157730,-106.5860939
Monica's El Portal,35.0973334,-106.6715888
Monte Carlo Steakhouse;Monte Carlo Package Liquors,35.0861004,-106.6835721
Denny's,35.1036424,-106.7049439
Cracker Barrel,35.1178833,-106.7023238
Eiliberto's,35.0946735,-106.5323344
El Patio Rio,35.1367053,-106.6692530
,35.1346496,-106.6423392
,35.1352448,-106.6421716
Buffalo Wild Wings,35.1042438,-106.7064753
66 Cafe,35.0734526,-106.7362552
"Urban 360 Pizza, Grill and Tap House",35.1094882,-106.6192578
,35.1192104,-106.7002738
,35.1081797,-106.7304733
,35.1075921,-106.7302130
Hooters,35.2037515,-106.6490461
,35.1479761,-106.6399568
Monroe's,35.0948846,-106.6498895
,35.1008758,-106.5707277
Gyro Shack,35.1056903,-106.5326711
,35.0908317,-106.5156511
,35.1375475,-106.5871935
Golden Corral,35.1407035,-106.5870348
Azuma Sushi & Teppan - San Mateo,35.1361265,-106.5871345
Fan Tang,35.1302897,-106.5431260
Garcia's Kitchen,35.1596241,-106.6784333
Pizza Hut,35.0837924,-106.7112609
County Line BBQ,35.1899322,-106.4954882
LongHorn Steakhouse,35.1973170,-106.6609263
Lindo Mexico Grill and Seafood,35.1386281,-106.5329074
Al Quds Mediterranean Grill & Grocery,35.1319308,-106.5781353
Applebee's,35.2065324,-106.6519500
,35.1936746,-106.6558008
STORMING CRAB - ABQ NM,35.1972696,-106.6529460
,35.0910494,-106.6531408
Stripes Burrito Co,35.0876191,-106.5778873
,35.1118294,-106.7306211
,35.1075760,-106.7305448
Golden Corral,35.1147459,-106.7034490
Applebee's,35.1145408,-106.7023256
,35.0959051,-106.7082084
,35.1995260,-106.6520951
,35.1992156,-106.6528029
,35.1989746,-106.6522387
Texas Roadhouse,35.1973899,-106.6598219
